Name,TypeName
交通調査基本区間番号,String
世代管理番号（十の位）,Integer
世代管理番号（一の位）,Integer
道路種別,String
路線／路線番号,Integer
路線／路線名,String
起点側／接続区分,Integer
起点側／接続路線等／交通調査基本区間番号,String
起点側／接続路線等／世代管理番号（十の位）,Integer
起点側／接続路線等／路線名等,String
起点側／備考,String
終点側／接続区分,Integer
終点側／接続路線等／交通調査基本区間番号,String
終点側／接続路線等／世代管理番号（十の位）,Integer
終点側／接続路線等／路線名等,String
終点側／備考,String
現道旧道区分,Integer
管理区分,String
市区町村コード,Integer
自動車専用道路の別,Integer
区間種別,Integer
分離区間／分離区分,Integer
分離区間／交通調査基本区間番号,String
区間延長（ｋｍ）,Real
高規格道路の別,Integer
一般国道指定区間,Integer
一方通行フラグ,Integer
平成２２年度／交通調査基本区間番号,String
交通量調査単位区間番号／都道府県指定市コード,Integer
交通量調査単位区間番号／調査単位区間番号,Integer
観測地点交通調査基本区間番号,String
交通量観測地点地名／市郡区町村丁字目,String
平成２７年度調査交通量観測・非観測の別,String
個別調査観測値活用の別,String
１２・２４時間観測の別,String
交通量観測年月日,Integer
昼間１２時間自動車類交通量（上下合計）／小型車（台）,Integer
昼間１２時間自動車類交通量（上下合計）／大型車（台）,Integer
昼間１２時間自動車類交通量（上下合計）／合計（台）,Integer
２４時間自動車類交通量（上下合計）／小型車（台）,Integer
２４時間自動車類交通量（上下合計）／大型車（台）,Integer
２４時間自動車類交通量（上下合計）／合計（台）,Integer
昼夜率,Real
昼間１２時間ピーク比率（％）,Real
昼間１２時間大型車混入率（％）,Real
混雑度,Real
平成２２年度／交通量調査／都道府県指定市コード,Integer
平成２２年度／交通量調査／調査単位区間番号,Integer
平成２２年度／昼間１２時間自動車類交通量（台）,Integer
平成２２年度／２４時間自動車類交通量（台）,Integer
旅行速度調査単位区間番号／都道府県指定市コード,Integer
旅行速度調査単位区間番号／調査単位区間番号,Integer
混雑時／上り／旅行速度計測・非計測の別,Integer
混雑時／上り／旅行速度（ｋｍ／ｈ）,Real
混雑時／下り／旅行速度計測・非計測の別,Integer
混雑時／下り／旅行速度（ｋｍ／ｈ）,Real
昼間非混雑時／上り／旅行速度計測・非計測の別,Integer
昼間非混雑時／上り／旅行速度（ｋｍ／ｈ）,Real
昼間非混雑時／下り／旅行速度計測・非計測の別,Integer
昼間非混雑時／下り／旅行速度（ｋｍ／ｈ）,Real
昼間１２時間平均旅行速度（時間帯別交通量加重）／上り（ｋｍ／ｈ）,Real
昼間１２時間平均旅行速度（時間帯別交通量加重）／下り（ｋｍ／ｈ）,Real
平成２２年度／旅行速度調査／都道府県指定市コード,Integer
平成２２年度／旅行速度調査／調査単位区間番号,Integer
平成２２年度／旅行速度／混雑時／上り（ｋｍ／ｈ）,Real
平成２２年度／旅行速度／混雑時／下り（ｋｍ／ｈ）,Real
平成２２年度／旅行速度／昼間非混雑時／上り（ｋｍ／ｈ）,Real
平成２２年度／旅行速度／昼間非混雑時／下り（ｋｍ／ｈ）,Real
道路状況調査単位区間番号／都道府県指定市コード,Integer
道路状況調査単位区間番号／調査単位区間番号,Integer
区間延長／改良済み区間率（％）,Real
区間延長／５．５ｍ以上改良済み区間率（％）,Real
幅員構成／道路部幅員（ｍ）,Real
幅員構成／車道部幅員（ｍ）,Real
幅員構成／車道幅員（ｍ）,Real
幅員構成／中央帯幅員（ｍ）,Real
幅員構成／歩道幅員／上り（ｍ）,Real
幅員構成／歩道幅員／下り（ｍ）,Real
幅員構成／自転車道幅員／上り（ｍ）,Real
幅員構成／自転車道幅員／下り（ｍ）,Real
幅員構成／停車帯等幅員／上り（ｍ）,Real
幅員構成／停車帯等幅員／下り（ｍ）,Real
車線数,Integer
交通安全施設等／歩道設置率（％）,Real
交通安全施設等／自転車歩行者道設置率（％）,Real
交通安全施設等／自転車道設置率（％）,Real
交通安全施設等／自転車レーン設置率（％）,Real
交通安全施設等／両側歩道設置率（％）,Real
交通安全施設等／両側自転車歩行者道設置率（％）,Real
交通安全施設等／両側自転車道設置率（％）,Real
交通安全施設等／両側自転車レーン設置率（％）,Real
交通安全施設等／歩道代表幅員（ｍ）,Real
交通安全施設等／自転車道代表幅員（ｍ）,Real
バス路線／バス路線延長率（％）,Real
バス路線／バス優先・専用レーンの有無,Integer
交差点密度／信号交差点（箇所／ｋｍ）,Real
交差点密度／信号のない交差点（箇所／ｋｍ）,Real
代表信号交差点／青時間比（％）,Integer
代表信号交差点／右折専用車線の有無等,Integer
鉄道との平面交差箇所の有無,Integer
指定最高速度（ｋｍ／ｈ）,Integer
付加車線及び登坂車線設置箇所の有無／上り,Integer
付加車線及び登坂車線設置箇所の有無／下り,Integer
代表沿道状況,String
中央分離帯／中央分離帯の種類,Integer
中央分離帯／中央分離帯の設置状況,Integer
軌道の有無,Integer
自転車通行可能区分,Integer
異常気象時等通行規制区分,Integer
リバーシブルレーン運用の有無,Integer
アクセスコントロール,Integer
平成２２年度／道路状況調査／都道府県指定市コード,Integer
平成２２年度／道路状況調査／調査単位区間番号,Integer
交通調査基本区間番号.1,String
世代管理番号（十の位）.1,Integer
世代管理番号（一の位）.1,Integer
道路種別.1,Integer
路線／路線番号.1,Integer
路線／路線名.1,String
