Name,TypeName
交通調査基本区間番号,String
世代管理番号（十の位）,Integer
世代管理番号（一の位）,Integer
道路種別,String
路線番号,Integer
路線名,String
起点側／接続区分,Integer
起点側／交通調査基本区間番号,String
起点側／世代管理番号（十の位）,Integer
起点側／路線名等,String
起点側／備考,String
終点側／接続区分,Integer
終点側／交通調査基本区間番号,String
終点側／世代管理番号（十の位）,Integer
終点側／路線名等,String
終点側／備考,String
現道旧道区分,Integer
管理区分,String
市区町村コード,Integer
自動車専用道路の別,Integer
区間種別,Integer
分離区間／分離区分,Integer
分離区間／交通調査基本区間番号,String
区間延長（ｋｍ）,Real
高規格道路の別,Integer
一般国道指定区間,Integer
一方通行フラグ,Integer
平成２７年度／交通調査基本区間番号,String
平成２７年度／世代管理番号（十の位）,Integer
平成２７年度／世代管理番号（一の位）,Integer
交通量／都道府県指定市コード,Integer
交通量／調査単位区間番号,Integer
上り／観測地点交通調査基本区間番号,String
上り／交通量観測地点地名,String
上り／令和３年度調査交通量観測・非観測の別,String
上り／個別調査結果活用の別,String
上り／１２時間・２４時間観測の別,String
上り／交通量観測年月日,Integer
上り／昼間１２時間自動車類交通量／小型車（台）,Integer
上り／昼間１２時間自動車類交通量／大型車（台）,Integer
上り／昼間１２時間自動車類交通量／合計（台）,Integer
上り／２４時間自動車類交通量／小型車（台）,Integer
上り／２４時間自動車類交通量／大型車（台）,Integer
上り／２４時間自動車類交通量／合計（台）,Integer
下り／観測地点交通調査基本区間番号,String
下り／交通量観測地点地名,String
下り／令和３年度調査交通量観測・非観測の別,String
下り／個別調査結果活用の別,String
下り／１２時間・２４時間観測の別,String
下り／交通量観測年月日,Integer
下り／昼間１２時間自動車類交通量／小型車（台）,Integer
下り／昼間１２時間自動車類交通量／大型車（台）,Integer
下り／昼間１２時間自動車類交通量／合計（台）,Integer
下り／２４時間自動車類交通量／小型車（台）,Integer
下り／２４時間自動車類交通量／大型車（台）,Integer
下り／２４時間自動車類交通量／合計（台）,Integer
昼間１２時間自動車類交通量（上下合計）／小型車（台）,Integer
昼間１２時間自動車類交通量（上下合計）／大型車（台）,Integer
昼間１２時間自動車類交通量（上下合計）／合計（台）,Integer
２４時間自動車類交通量（上下合計）／小型車（台）,Integer
２４時間自動車類交通量（上下合計）／大型車（台）,Integer
２４時間自動車類交通量（上下合計）／合計（台）,Integer
昼夜率,Real
昼間１２時間ピーク比率（％）,Real
昼間１２時間大型車混入率（％）,Real
混雑度,Real
平成２７年度／交通量／都道府県指定市コード,Integer
平成２７年度／交通量／調査単位区間番号,Integer
平成２７年度／昼間１２時間自動車類交通量（台）,Integer
平成２７年度／２４時間自動車類交通量（台）,Integer
旅行速度／都道府県指定市コード,Integer
旅行速度／調査単位区間番号,Integer
朝夕（混雑時）／上り／旅行速度計測・非計測の別,Integer
朝夕（混雑時）／上り／旅行速度／小型車（ｋｍ／ｈ）,Real
朝夕（混雑時）／上り／旅行速度／大型車（ｋｍ／ｈ）,Real
朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,Real
朝夕（混雑時）／上り／取得件数／小型車（件）,Integer
朝夕（混雑時）／上り／取得件数／大型車（件）,Integer
朝夕（混雑時）／上り／取得件数／合計（件）,Integer
朝夕（混雑時）／下り／旅行速度計測・非計測の別,Integer
朝夕（混雑時）／下り／旅行速度／小型車（ｋｍ／ｈ）,Real
朝夕（混雑時）／下り／旅行速度／大型車（ｋｍ／ｈ）,Real
朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,Real
